row_id,settlement,region_kingdom,social_class,share
1,Athkatla,Amn,Aristocratic,332.0
1,Athkatla,Amn,Wealthy,2809.0
1,Athkatla,Amn,Comfortable,16584.0
1,Athkatla,Amn,Modest,33440.0
1,Athkatla,Amn,Poor,39204.0
1,Athkatla,Amn,Squalid,48917.0
1,Athkatla,Amn,Wretched,10176.0
2,Amnwater,Amn,Aristocratic,2.0
2,Amnwater,Amn,Wealthy,113.0
2,Amnwater,Amn,Comfortable,486.0
2,Amnwater,Amn,Modest,961.0
2,Amnwater,Amn,Poor,2269.0
2,Amnwater,Amn,Squalid,1336.0
2,Amnwater,Amn,Wretched,318.0
3,Citadel Amnur,Amn,Aristocratic,0.0
3,Citadel Amnur,Amn,Wealthy,1.0
3,Citadel Amnur,Amn,Comfortable,40.0
3,Citadel Amnur,Amn,Modest,87.0
3,Citadel Amnur,Amn,Poor,204.0
3,Citadel Amnur,Amn,Squalid,123.0
3,Citadel Amnur,Amn,Wretched,10.0
4,Citadel Rashturl,Amn,Aristocratic,0.0
4,Citadel Rashturl,Amn,Wealthy,3.0
4,Citadel Rashturl,Amn,Comfortable,41.0
4,Citadel Rashturl,Amn,Modest,127.0
4,Citadel Rashturl,Amn,Poor,221.0
4,Citadel Rashturl,Amn,Squalid,146.0
4,Citadel Rashturl,Amn,Wretched,7.0
5,Coryllvol,Amn,Aristocratic,71.0
5,Coryllvol,Amn,Wealthy,631.0
5,Coryllvol,Amn,Comfortable,1771.0
5,Coryllvol,Amn,Modest,2545.0
5,Coryllvol,Amn,Poor,7526.0
5,Coryllvol,Amn,Squalid,6608.0
5,Coryllvol,Amn,Wretched,2090.0
6,Crimmor,Amn,Aristocratic,135.0
6,Crimmor,Amn,Wealthy,522.0
6,Crimmor,Amn,Comfortable,4054.0
6,Crimmor,Amn,Modest,6474.0
6,Crimmor,Amn,Poor,11773.0
6,Crimmor,Amn,Squalid,9875.0
6,Crimmor,Amn,Wretched,3283.0
7,Dark Redoubt,Amn,Aristocratic,0.0
7,Dark Redoubt,Amn,Wealthy,0.0
7,Dark Redoubt,Amn,Comfortable,19.0
7,Dark Redoubt,Amn,Modest,45.0
7,Dark Redoubt,Amn,Poor,94.0
7,Dark Redoubt,Amn,Squalid,54.0
7,Dark Redoubt,Amn,Wretched,2.0
8,Edive,Amn,Aristocratic,0.0
8,Edive,Amn,Wealthy,0.0
8,Edive,Amn,Comfortable,12.0
8,Edive,Amn,Modest,18.0
8,Edive,Amn,Poor,66.0
8,Edive,Amn,Squalid,45.0
8,Edive,Amn,Wretched,1.0
9,Esford,Amn,Aristocratic,0.0
9,Esford,Amn,Wealthy,69.0
9,Esford,Amn,Comfortable,426.0
9,Esford,Amn,Modest,1412.0
9,Esford,Amn,Poor,1786.0
9,Esford,Amn,Squalid,1523.0
9,Esford,Amn,Wretched,263.0
10,Eshpurta,Amn,Aristocratic,60.0
10,Eshpurta,Amn,Wealthy,584.0
10,Eshpurta,Amn,Comfortable,2529.0
10,Eshpurta,Amn,Modest,2456.0
10,Eshpurta,Amn,Poor,7455.0
10,Eshpurta,Amn,Squalid,4931.0
10,Eshpurta,Amn,Wretched,1996.0
11,Esmeltaran,Amn,Aristocratic,74.0
11,Esmeltaran,Amn,Wealthy,629.0
11,Esmeltaran,Amn,Comfortable,1979.0
11,Esmeltaran,Amn,Modest,2879.0
11,Esmeltaran,Amn,Poor,7341.0
11,Esmeltaran,Amn,Squalid,5324.0
11,Esmeltaran,Amn,Wretched,1622.0
12,Gambiton,Amn,Aristocratic,0.0
12,Gambiton,Amn,Wealthy,25.0
12,Gambiton,Amn,Comfortable,97.0
12,Gambiton,Amn,Modest,227.0
12,Gambiton,Amn,Poor,451.0
12,Gambiton,Amn,Squalid,246.0
12,Gambiton,Amn,Wretched,97.0
13,Goldspires,Amn,Aristocratic,0.0
13,Goldspires,Amn,Wealthy,18.0
13,Goldspires,Amn,Comfortable,77.0
13,Goldspires,Amn,Modest,167.0
13,Goldspires,Amn,Poor,402.0
13,Goldspires,Amn,Squalid,328.0
13,Goldspires,Amn,Wretched,82.0
14,Hillfort Ishla,Amn,Aristocratic,0.0
14,Hillfort Ishla,Amn,Wealthy,0.0
14,Hillfort Ishla,Amn,Comfortable,12.0
14,Hillfort Ishla,Amn,Modest,26.0
14,Hillfort Ishla,Amn,Poor,99.0
14,Hillfort Ishla,Amn,Squalid,82.0
14,Hillfort Ishla,Amn,Wretched,5.0
15,Hillfort Keshla,Amn,Aristocratic,0.0
15,Hillfort Keshla,Amn,Wealthy,2.0
15,Hillfort Keshla,Amn,Comfortable,24.0
15,Hillfort Keshla,Amn,Modest,44.0
15,Hillfort Keshla,Amn,Poor,141.0
15,Hillfort Keshla,Amn,Squalid,79.0
15,Hillfort Keshla,Amn,Wretched,5.0
16,Hillfort Torbold,Amn,Aristocratic,0.0
16,Hillfort Torbold,Amn,Wealthy,1.0
16,Hillfort Torbold,Amn,Comfortable,18.0
16,Hillfort Torbold,Amn,Modest,44.0
16,Hillfort Torbold,Amn,Poor,94.0
16,Hillfort Torbold,Amn,Squalid,61.0
16,Hillfort Torbold,Amn,Wretched,3.0
17,Ideepton,Amn,Aristocratic,0.0
17,Ideepton,Amn,Wealthy,0.0
17,Ideepton,Amn,Comfortable,13.0
17,Ideepton,Amn,Modest,25.0
17,Ideepton,Amn,Poor,66.0
17,Ideepton,Amn,Squalid,37.0
17,Ideepton,Amn,Wretched,3.0
18,Imnescar,Amn,Aristocratic,1.0
18,Imnescar,Amn,Wealthy,98.0
18,Imnescar,Amn,Comfortable,359.0
18,Imnescar,Amn,Modest,1097.0
18,Imnescar,Amn,Poor,1865.0
18,Imnescar,Amn,Squalid,1217.0
18,Imnescar,Amn,Wretched,194.0
19,Keczulla,Amn,Aristocratic,116.0
19,Keczulla,Amn,Wealthy,1139.0
19,Keczulla,Amn,Comfortable,5496.0
19,Keczulla,Amn,Modest,5971.0
19,Keczulla,Amn,Poor,14565.0
19,Keczulla,Amn,Squalid,10033.0
19,Keczulla,Amn,Wretched,3680.0
20,Minsor Vale,Amn,Aristocratic,0.0
20,Minsor Vale,Amn,Wealthy,1.0
20,Minsor Vale,Amn,Comfortable,10.0
20,Minsor Vale,Amn,Modest,27.0
20,Minsor Vale,Amn,Poor,60.0
20,Minsor Vale,Amn,Squalid,55.0
20,Minsor Vale,Amn,Wretched,3.0
21,Murann,Amn,Aristocratic,80.0
21,Murann,Amn,Wealthy,725.0
21,Murann,Amn,Comfortable,4899.0
21,Murann,Amn,Modest,8280.0
21,Murann,Amn,Poor,13325.0
21,Murann,Amn,Squalid,9976.0
21,Murann,Amn,Wretched,3850.0
22,Nashkel,Amn,Aristocratic,0.0
22,Nashkel,Amn,Wealthy,29.0
22,Nashkel,Amn,Comfortable,208.0
22,Nashkel,Amn,Modest,475.0
22,Nashkel,Amn,Poor,870.0
22,Nashkel,Amn,Squalid,558.0
22,Nashkel,Amn,Wretched,100.0
23,Purskul,Amn,Aristocratic,97.0
23,Purskul,Amn,Wealthy,382.0
23,Purskul,Amn,Comfortable,2892.0
23,Purskul,Amn,Modest,4779.0
23,Purskul,Amn,Poor,8750.0
23,Purskul,Amn,Squalid,7924.0
23,Purskul,Amn,Wretched,1653.0
24,Quarrelshigh,Amn,Aristocratic,0.0
24,Quarrelshigh,Amn,Wealthy,2.0
24,Quarrelshigh,Amn,Comfortable,33.0
24,Quarrelshigh,Amn,Modest,50.0
24,Quarrelshigh,Amn,Poor,163.0
24,Quarrelshigh,Amn,Squalid,137.0
24,Quarrelshigh,Amn,Wretched,6.0
25,Riatavin,Amn,Aristocratic,0.0
25,Riatavin,Amn,Wealthy,337.0
25,Riatavin,Amn,Comfortable,1012.0
25,Riatavin,Amn,Modest,2062.0
25,Riatavin,Amn,Poor,4032.0
25,Riatavin,Amn,Squalid,2606.0
25,Riatavin,Amn,Wretched,943.0
26,Scimitar,Amn,Aristocratic,0.0
26,Scimitar,Amn,Wealthy,0.0
26,Scimitar,Amn,Comfortable,19.0
26,Scimitar,Amn,Modest,26.0
26,Scimitar,Amn,Poor,90.0
26,Scimitar,Amn,Squalid,54.0
26,Scimitar,Amn,Wretched,5.0
27,Shatar,Amn,Aristocratic,0.0
27,Shatar,Amn,Wealthy,0.0
27,Shatar,Amn,Comfortable,8.0
27,Shatar,Amn,Modest,20.0
27,Shatar,Amn,Poor,69.0
27,Shatar,Amn,Squalid,32.0
27,Shatar,Amn,Wretched,3.0
28,Shepherdston,Amn,Aristocratic,0.0
28,Shepherdston,Amn,Wealthy,84.0
28,Shepherdston,Amn,Comfortable,394.0
28,Shepherdston,Amn,Modest,1139.0
28,Shepherdston,Amn,Poor,1680.0
28,Shepherdston,Amn,Squalid,1130.0
28,Shepherdston,Amn,Wretched,272.0
29,Trademeet,Amn,Aristocratic,2.0
29,Trademeet,Amn,Wealthy,109.0
29,Trademeet,Amn,Comfortable,481.0
29,Trademeet,Amn,Modest,1361.0
29,Trademeet,Amn,Poor,2107.0
29,Trademeet,Amn,Squalid,1693.0
29,Trademeet,Amn,Wretched,393.0
30,Trailstone,Amn,Aristocratic,0.0
30,Trailstone,Amn,Wealthy,3.0
30,Trailstone,Amn,Comfortable,43.0
30,Trailstone,Amn,Modest,83.0
30,Trailstone,Amn,Poor,208.0
30,Trailstone,Amn,Squalid,124.0
30,Trailstone,Amn,Wretched,8.0
31,Zinner,Amn,Aristocratic,0.0
31,Zinner,Amn,Wealthy,2.0
31,Zinner,Amn,Comfortable,26.0
31,Zinner,Amn,Modest,68.0
31,Zinner,Amn,Poor,167.0
31,Zinner,Amn,Squalid,100.0
31,Zinner,Amn,Wretched,8.0
32,Calimport,Calimshan,Aristocratic,181.0
32,Calimport,Calimshan,Wealthy,2417.0
32,Calimport,Calimshan,Comfortable,6719.0
32,Calimport,Calimshan,Modest,11520.0
32,Calimport,Calimshan,Poor,26379.0
32,Calimport,Calimshan,Squalid,25852.0
32,Calimport,Calimshan,Wretched,5711.0
33,Almraiven,Calimshan,Aristocratic,72.0
33,Almraiven,Calimshan,Wealthy,990.0
33,Almraiven,Calimshan,Comfortable,5046.0
33,Almraiven,Calimshan,Modest,7931.0
33,Almraiven,Calimshan,Poor,13233.0
33,Almraiven,Calimshan,Squalid,9809.0
33,Almraiven,Calimshan,Wretched,3050.0
34,Keltar,Calimshan,Aristocratic,59.0
34,Keltar,Calimshan,Wealthy,473.0
34,Keltar,Calimshan,Comfortable,2686.0
34,Keltar,Calimshan,Modest,3047.0
34,Keltar,Calimshan,Poor,8232.0
34,Keltar,Calimshan,Squalid,6746.0
34,Keltar,Calimshan,Wretched,1946.0
35,Manshaka,Calimshan,Aristocratic,15.0
35,Manshaka,Calimshan,Wealthy,742.0
35,Manshaka,Calimshan,Comfortable,3770.0
35,Manshaka,Calimshan,Modest,4192.0
35,Manshaka,Calimshan,Poor,11220.0
35,Manshaka,Calimshan,Squalid,11920.0
35,Manshaka,Calimshan,Wretched,1724.0
36,Memnon,Calimshan,Aristocratic,51.0
36,Memnon,Calimshan,Wealthy,506.0
36,Memnon,Calimshan,Comfortable,3726.0
36,Memnon,Calimshan,Modest,3097.0
36,Memnon,Calimshan,Poor,9503.0
36,Memnon,Calimshan,Squalid,7835.0
36,Memnon,Calimshan,Wretched,2281.0
37,Schamedar,Calimshan,Aristocratic,43.0
37,Schamedar,Calimshan,Wealthy,230.0
37,Schamedar,Calimshan,Comfortable,2532.0
37,Schamedar,Calimshan,Modest,3372.0
37,Schamedar,Calimshan,Poor,6882.0
37,Schamedar,Calimshan,Squalid,4640.0
37,Schamedar,Calimshan,Wretched,1559.0
38,Suldolphor,Calimshan,Aristocratic,1.0
