row_id,settlement,region_kingdom,demographic_group,population
1,Athkatla,Amn,humans,116046
1,Athkatla,Amn,halflings,116
1,Athkatla,Amn,half-orcs,0
1,Athkatla,Amn,misc.,0
2,Amnwater,Amn,humans,2335
2,Amnwater,Amn,halflings,4699
2,Amnwater,Amn,half-orcs,0
2,Amnwater,Amn,misc.,0
3,Citadel Amnur,Amn,humans,580
3,Citadel Amnur,Amn,halflings,55
3,Citadel Amnur,Amn,half-orcs,0
3,Citadel Amnur,Amn,misc.,0
4,Citadel Rashturl,Amn,humans,487
4,Citadel Rashturl,Amn,halflings,222
4,Citadel Rashturl,Amn,half-orcs,0
4,Citadel Rashturl,Amn,misc.,0
5,Coryllvol,Amn,humans,5842
5,Coryllvol,Amn,halflings,17158
5,Coryllvol,Amn,half-orcs,0
5,Coryllvol,Amn,misc.,0
6,Crimmor,Amn,humans,34975
6,Crimmor,Amn,halflings,0
6,Crimmor,Amn,half-orcs,0
6,Crimmor,Amn,misc.,0
7,Dark Redoubt,Amn,humans,288
7,Dark Redoubt,Amn,halflings,3
7,Dark Redoubt,Amn,half-orcs,0
7,Dark Redoubt,Amn,misc.,0
8,Edive,Amn,humans,192
8,Edive,Amn,halflings,0
8,Edive,Amn,half-orcs,0
8,Edive,Amn,misc.,0
9,Esford,Amn,humans,2863
9,Esford,Amn,halflings,2806
9,Esford,Amn,half-orcs,0
9,Esford,Amn,misc.,0
10,Eshpurta,Amn,humans,23037
10,Eshpurta,Amn,halflings,0
10,Eshpurta,Amn,half-orcs,0
10,Eshpurta,Amn,misc.,0
11,Esmeltaran,Amn,humans,8328
11,Esmeltaran,Amn,halflings,12972
11,Esmeltaran,Amn,half-orcs,0
11,Esmeltaran,Amn,misc.,0
12,Gambiton,Amn,humans,1267
12,Gambiton,Amn,halflings,32
12,Gambiton,Amn,half-orcs,0
12,Gambiton,Amn,misc.,0
13,Goldspires,Amn,humans,1161
13,Goldspires,Amn,halflings,0
13,Goldspires,Amn,half-orcs,0
13,Goldspires,Amn,misc.,0
14,Hillfort Ishla,Amn,humans,316
14,Hillfort Ishla,Amn,halflings,2
14,Hillfort Ishla,Amn,half-orcs,0
14,Hillfort Ishla,Amn,misc.,0
15,Hillfort Keshla,Amn,humans,304
15,Hillfort Keshla,Amn,halflings,10
15,Hillfort Keshla,Amn,half-orcs,124
15,Hillfort Keshla,Amn,misc.,0
16,Hillfort Torbold,Amn,humans,224
16,Hillfort Torbold,Amn,halflings,0
16,Hillfort Torbold,Amn,half-orcs,86
16,Hillfort Torbold,Amn,misc.,0
17,Ideepton,Amn,humans,161
17,Ideepton,Amn,halflings,31
17,Ideepton,Amn,half-orcs,0
17,Ideepton,Amn,misc.,0
18,Imnescar,Amn,humans,5830
18,Imnescar,Amn,halflings,0
18,Imnescar,Amn,half-orcs,0
18,Imnescar,Amn,misc.,0
19,Keczulla,Amn,humans,37863
19,Keczulla,Amn,halflings,10555
19,Keczulla,Amn,half-orcs,0
19,Keczulla,Amn,misc.,0
20,Minsor Vale,Amn,humans,193
20,Minsor Vale,Amn,halflings,0
20,Minsor Vale,Amn,half-orcs,0
20,Minsor Vale,Amn,misc.,0
21,Murann,Amn,humans,43417
21,Murann,Amn,halflings,0
21,Murann,Amn,half-orcs,0
21,Murann,Amn,misc.,0
22,Nashkel,Amn,humans,2852
22,Nashkel,Amn,halflings,28
22,Nashkel,Amn,half-orcs,0
22,Nashkel,Amn,misc.,0
23,Purskul,Amn,humans,25797
23,Purskul,Amn,halflings,1386
23,Purskul,Amn,half-orcs,0
23,Purskul,Amn,misc.,0
24,Quarrelshigh,Amn,humans,504
24,Quarrelshigh,Amn,halflings,0
24,Quarrelshigh,Amn,half-orcs,0
24,Quarrelshigh,Amn,misc.,0
25,Riatavin,Amn,humans,3799
25,Riatavin,Amn,halflings,8055
25,Riatavin,Amn,half-orcs,0
25,Riatavin,Amn,misc.,131
26,Scimitar,Amn,humans,278
26,Scimitar,Amn,halflings,21
26,Scimitar,Amn,half-orcs,0
26,Scimitar,Amn,misc.,0
27,Shatar,Amn,humans,175
27,Shatar,Amn,halflings,24
27,Shatar,Amn,half-orcs,0
27,Shatar,Amn,misc.,0
28,Shepherdston,Amn,humans,1935
28,Shepherdston,Amn,halflings,3065
28,Shepherdston,Amn,half-orcs,0
28,Shepherdston,Amn,misc.,0
29,Trademeet,Amn,humans,6237
29,Trademeet,Amn,halflings,0
29,Trademeet,Amn,half-orcs,0
29,Trademeet,Amn,misc.,0
30,Trailstone,Amn,humans,651
30,Trailstone,Amn,halflings,0
30,Trailstone,Amn,half-orcs,0
30,Trailstone,Amn,misc.,0
31,Zinner,Amn,humans,500
31,Zinner,Amn,halflings,0
31,Zinner,Amn,half-orcs,0
31,Zinner,Amn,misc.,0
32,Calimport,Calimshan,humans,75915
32,Calimport,Calimshan,halflings,2501
32,Calimport,Calimshan,dwarves,2588
32,Calimport,Calimshan,half-elves,1639
32,Calimport,Calimshan,elves,862
33,Almraiven,Calimshan,humans,37163
33,Almraiven,Calimshan,halflings,1228
33,Almraiven,Calimshan,dwarves,1271
33,Almraiven,Calimshan,half-elves,847
33,Almraiven,Calimshan,elves,423
34,Keltar,Calimshan,humans,20790
34,Keltar,Calimshan,halflings,683
34,Keltar,Calimshan,dwarves,707
34,Keltar,Calimshan,half-elves,471
34,Keltar,Calimshan,elves,235
35,Manshaka,Calimshan,humans,31248
35,Manshaka,Calimshan,halflings,983
35,Manshaka,Calimshan,dwarves,1017
35,Manshaka,Calimshan,half-elves,678
35,Manshaka,Calimshan,elves,339
36,Memnon,Calimshan,humans,25369
36,Memnon,Calimshan,halflings,875
36,Memnon,Calimshan,dwarves,875
36,Memnon,Calimshan,half-elves,583
36,Memnon,Calimshan,elves,291
37,Schamedar,Calimshan,humans,17612
37,Schamedar,Calimshan,halflings,591
37,Schamedar,Calimshan,dwarves,591
37,Schamedar,Calimshan,half-elves,394
37,Schamedar,Calimshan,elves,197
38,Suldolphor,Calimshan,humans,11805
38,Suldolphor,Calimshan,halflings,417
38,Suldolphor,Calimshan,dwarves,403
38,Suldolphor,Calimshan,half-elves,255
38,Suldolphor,Calimshan,elves,134
39,Teshburl,Calimshan,humans,18894
39,Teshburl,Calimshan,halflings,634
39,Teshburl,Calimshan,dwarves,634
39,Teshburl,Calimshan,half-elves,423
39,Teshburl,Calimshan,elves,211
40,Volothamp,Calimshan,humans,32935
40,Volothamp,Calimshan,halflings,1030
40,Volothamp,Calimshan,dwarves,1065
40,Volothamp,Calimshan,half-elves,675
40,Volothamp,Calimshan,elves,355
41,Cimbar,Chessenta,humans,9255
41,Cimbar,Chessenta,halflings,311
41,Cimbar,Chessenta,dwarves,301
41,Cimbar,Chessenta,half-elves,207
41,Cimbar,Chessenta,elves,103
42,Airspur,Chessenta,humans,20663
42,Airspur,Chessenta,halflings,685
42,Airspur,Chessenta,dwarves,662
42,Airspur,Chessenta,half-elves,419
42,Airspur,Chessenta,elves,220
43,Akanax,Chessenta,humans,23117
43,Akanax,Chessenta,halflings,766
43,Akanax,Chessenta,dwarves,766
43,Akanax,Chessenta,half-elves,485
43,Akanax,Chessenta,elves,255
44,Erebos,Chessenta,humans,7191
44,Erebos,Chessenta,halflings,227
44,Erebos,Chessenta,dwarves,235
44,Erebos,Chessenta,half-elves,157
44,Erebos,Chessenta,elves,78
45,Gaj,Chessenta,humans,5285
45,Gaj,Chessenta,halflings,180
45,Gaj,Chessenta,dwarves,180
45,Gaj,Chessenta,half-elves,126
45,Gaj,Chessenta,elves,60
46,Heptios,Chessenta,humans,8032
46,Heptios,Chessenta,halflings,249
46,Heptios,Chessenta,dwarves,249
46,Heptios,Chessenta,half-elves,163
46,Heptios,Chessenta,elves,85
47,Luthcheq,Chessenta,humans,54671
47,Luthcheq,Chessenta,halflings,1814
47,Luthcheq,Chessenta,dwarves,1756
47,Luthcheq,Chessenta,half-elves,1112
47,Luthcheq,Chessenta,elves,585
48,Maerduuth,Chessenta,humans,11542
48,Maerduuth,Chessenta,halflings,367
48,Maerduuth,Chessenta,dwarves,380
48,Maerduuth,Chessenta,half-elves,240
48,Maerduuth,Chessenta,elves,126
49,Mordulkin,Chessenta,humans,31761
49,Mordulkin,Chessenta,halflings,1116
49,Mordulkin,Chessenta,dwarves,1080
49,Mordulkin,Chessenta,half-elves,720
49,Mordulkin,Chessenta,elves,360
50,Oslin,Chessenta,humans,5119
50,Oslin,Chessenta,halflings,158
50,Oslin,Chessenta,dwarves,158
50,Oslin,Chessenta,half-elves,109
50,Oslin,Chessenta,elves,54
51,Pandrik,Chessenta,humans,1155
51,Pandrik,Chessenta,halflings,37
51,Pandrik,Chessenta,dwarves,39
51,Pandrik,Chessenta,half-elves,26
51,Pandrik,Chessenta,elves,13
52,Rodanar,Chessenta,humans,4322
52,Rodanar,Chessenta,halflings,145
52,Rodanar,Chessenta,dwarves,141
52,Rodanar,Chessenta,half-elves,94
52,Rodanar,Chessenta,elves,47
53,Saden,Chessenta,humans,797
53,Saden,Chessenta,halflings,26
53,Saden,Chessenta,dwarves,26
53,Saden,Chessenta,half-elves,18
53,Saden,Chessenta,elves,9
54,Samnur,Chessenta,humans,1547
54,Samnur,Chessenta,halflings,49
54,Samnur,Chessenta,dwarves,52
54,Samnur,Chessenta,half-elves,33
54,Samnur,Chessenta,elves,16
55,Soolabax,Chessenta,humans,1577
55,Soolabax,Chessenta,halflings,51
55,Soolabax,Chessenta,dwarves,55
55,Soolabax,Chessenta,half-elves,33
55,Soolabax,Chessenta,elves,17
56,Soorenar,Chessenta,humans,68799
56,Soorenar,Chessenta,halflings,2288
56,Soorenar,Chessenta,dwarves,2288
56,Soorenar,Chessenta,half-elves,1550
56,Soorenar,Chessenta,elves,738
57,Toreus,Chessenta,humans,3423
57,Toreus,Chessenta,halflings,114
57,Toreus,Chessenta,dwarves,107
57,Toreus,Chessenta,half-elves,77
57,Toreus,Chessenta,elves,37
58,Tulach,Chessenta,humans,2188
58,Tulach,Chessenta,halflings,70
58,Tulach,Chessenta,dwarves,70
58,Tulach,Chessenta,half-elves,46
58,Tulach,Chessenta,elves,23
59,Villon,Chessenta,humans,729
59,Villon,Chessenta,halflings,23
59,Villon,Chessenta,dwarves,23
59,Villon,Chessenta,half-elves,15
59,Villon,Chessenta,elves,7
60,Suzail,Cormyr,humans,116767
60,Suzail,Cormyr,halflings,3750
60,Suzail,Cormyr,dwarves,3750
60,Suzail,Cormyr,half-elves,2586
60,Suzail,Cormyr,elves,1293
61,Arabel,Cormyr,humans,25857
61,Arabel,Cormyr,halflings,861
61,Arabel,Cormyr,dwarves,861
61,Arabel,Cormyr,half-elves,574
61,Arabel,Cormyr,elves,287
62,Aunkspear,Cormyr,humans,47748
62,Aunkspear,Cormyr,halflings,1595
62,Aunkspear,Cormyr,dwarves,1595
62,Aunkspear,Cormyr,half-elves,1045
62,Aunkspear,Cormyr,elves,550
63,Battlerise,Cormyr,humans,7597
63,Battlerise,Cormyr,halflings,235
63,Battlerise,Cormyr,dwarves,243
63,Battlerise,Cormyr,half-elves,162
63,Battlerise,Cormyr,elves,81
64,Besert,Cormyr,humans,389
64,Besert,Cormyr,halflings,13
64,Besert,Cormyr,dwarves,13
64,Besert,Cormyr,half-elves,8
64,Besert,Cormyr,elves,4
65,Blustich,Cormyr,humans,4731
65,Blustich,Cormyr,halflings,152
65,Blustich,Cormyr,dwarves,152
65,Blustich,Cormyr,half-elves,101
65,Blustich,Cormyr,elves,50
66,Bogbrook,Cormyr,humans,732
66,Bogbrook,Cormyr,halflings,24
66,Bogbrook,Cormyr,dwarves,25
66,Bogbrook,Cormyr,half-elves,16
66,Bogbrook,Cormyr,elves,8
67,Bospir,Cormyr,humans,2313
67,Bospir,Cormyr,halflings,79
67,Bospir,Cormyr,dwarves,77
67,Bospir,Cormyr,half-elves,53
67,Bospir,Cormyr,elves,26
68,Castle Crag,Cormyr,humans,453
68,Castle Crag,Cormyr,halflings,14
68,Castle Crag,Cormyr,dwarves,14
68,Castle Crag,Cormyr,half-elves,9
68,Castle Crag,Cormyr,elves,5
69,Dawngleam,Cormyr,humans,722
69,Dawngleam,Cormyr,halflings,23
69,Dawngleam,Cormyr,dwarves,22
69,Dawngleam,Cormyr,half-elves,15
69,Dawngleam,Cormyr,elves,7
70,Dhedluk,Cormyr,humans,847
70,Dhedluk,Cormyr,halflings,27
70,Dhedluk,Cormyr,dwarves,27
70,Dhedluk,Cormyr,half-elves,17
70,Dhedluk,Cormyr,elves,9
71,Dreamer’s Rock,Cormyr,humans,565
71,Dreamer’s Rock,Cormyr,halflings,18
71,Dreamer’s Rock,Cormyr,dwarves,19
71,Dreamer’s Rock,Cormyr,half-elves,13
71,Dreamer’s Rock,Cormyr,elves,6
72,Espar,Cormyr,humans,507
72,Espar,Cormyr,halflings,17
72,Espar,Cormyr,dwarves,17
72,Espar,Cormyr,half-elves,11
72,Espar,Cormyr,elves,5
73,Eveningstar,Cormyr,humans,876
73,Eveningstar,Cormyr,halflings,28
73,Eveningstar,Cormyr,dwarves,28
73,Eveningstar,Cormyr,half-elves,18
73,Eveningstar,Cormyr,elves,9
74,Ghars,Cormyr,humans,1018
74,Ghars,Cormyr,halflings,33
74,Ghars,Cormyr,dwarves,33
74,Ghars,Cormyr,half-elves,22
74,Ghars,Cormyr,elves,11
75,Gladehap,Cormyr,humans,784
75,Gladehap,Cormyr,halflings,25
75,Gladehap,Cormyr,dwarves,25
75,Gladehap,Cormyr,half-elves,18
75,Gladehap,Cormyr,elves,8
76,Gorthin,Cormyr,humans,5093
76,Gorthin,Cormyr,halflings,170
76,Gorthin,Cormyr,dwarves,170
76,Gorthin,Cormyr,half-elves,108
76,Gorthin,Cormyr,elves,56
77,Gray Oaks,Cormyr,humans,86
77,Gray Oaks,Cormyr,halflings,2
77,Gray Oaks,Cormyr,dwarves,2
77,Gray Oaks,Cormyr,half-elves,1
77,Gray Oaks,Cormyr,elves,0
78,Halfhap,Cormyr,humans,1967
78,Halfhap,Cormyr,halflings,67
78,Halfhap,Cormyr,dwarves,69
78,Halfhap,Cormyr,half-elves,47
78,Halfhap,Cormyr,elves,22
79,High Horn,Cormyr,humans,341
79,High Horn,Cormyr,halflings,11
79,High Horn,Cormyr,dwarves,11
79,High Horn,Cormyr,half-elves,7
79,High Horn,Cormyr,elves,3
80,Hillmarch,Cormyr,humans,4800
80,Hillmarch,Cormyr,halflings,159
80,Hillmarch,Cormyr,dwarves,159
80,Hillmarch,Cormyr,half-elves,110
80,Hillmarch,Cormyr,elves,55
81,Hilp,Cormyr,humans,235
81,Hilp,Cormyr,halflings,7
81,Hilp,Cormyr,dwarves,7
81,Hilp,Cormyr,half-elves,4
81,Hilp,Cormyr,elves,2
82,Hultail,Cormyr,humans,83
82,Hultail,Cormyr,halflings,2
82,Hultail,Cormyr,dwarves,2
82,Hultail,Cormyr,half-elves,1
82,Hultail,Cormyr,elves,0
83,Immersea,Cormyr,humans,1015
83,Immersea,Cormyr,halflings,32
83,Immersea,Cormyr,dwarves,33
83,Immersea,Cormyr,half-elves,22
83,Immersea,Cormyr,elves,11
84,Juniril,Cormyr,humans,7933
84,Juniril,Cormyr,halflings,257
84,Juniril,Cormyr,dwarves,257
84,Juniril,Cormyr,half-elves,177
84,Juniril,Cormyr,elves,88
85,Kallamarn,Cormyr,humans,6022
85,Kallamarn,Cormyr,halflings,200
85,Kallamarn,Cormyr,dwarves,207
85,Kallamarn,Cormyr,half-elves,138
85,Kallamarn,Cormyr,elves,69
86,Kirinwood,Cormyr,humans,4951
86,Kirinwood,Cormyr,halflings,168
86,Kirinwood,Cormyr,dwarves,168
86,Kirinwood,Cormyr,half-elves,112
86,Kirinwood,Cormyr,elves,56
87,Knightswood,Cormyr,humans,4732
87,Knightswood,Cormyr,halflings,155
87,Knightswood,Cormyr,dwarves,155
87,Knightswood,Cormyr,half-elves,107
87,Knightswood,Cormyr,elves,53
88,Marsark’s Grove,Cormyr,humans,2278
88,Marsark’s Grove,Cormyr,halflings,73
88,Marsark’s Grove,Cormyr,dwarves,73
88,Marsark’s Grove,Cormyr,half-elves,50
88,Marsark’s Grove,Cormyr,elves,25
89,Marsember,Cormyr,humans,3049
89,Marsember,Cormyr,halflings,104
89,Marsember,Cormyr,dwarves,107
89,Marsember,Cormyr,half-elves,69
89,Marsember,Cormyr,elves,34
90,Minroe,Cormyr,humans,463
90,Minroe,Cormyr,halflings,15
90,Minroe,Cormyr,dwarves,14
90,Minroe,Cormyr,half-elves,10
90,Minroe,Cormyr,elves,5
91,Monksblade,Cormyr,humans,286
91,Monksblade,Cormyr,halflings,9
91,Monksblade,Cormyr,dwarves,8
91,Monksblade,Cormyr,half-elves,6
91,Monksblade,Cormyr,elves,3
92,Moonever,Cormyr,humans,749
92,Moonever,Cormyr,halflings,23
92,Moonever,Cormyr,dwarves,25
92,Moonever,Cormyr,half-elves,15
92,Moonever,Cormyr,elves,8
93,Mouth O’ Gargoyles,Cormyr,humans,407
93,Mouth O’ Gargoyles,Cormyr,halflings,13
93,Mouth O’ Gargoyles,Cormyr,dwarves,13
93,Mouth O’ Gargoyles,Cormyr,half-elves,8
93,Mouth O’ Gargoyles,Cormyr,elves,4
94,Nesmyth,Cormyr,humans,482
94,Nesmyth,Cormyr,halflings,15
94,Nesmyth,Cormyr,dwarves,15
94,Nesmyth,Cormyr,half-elves,10
94,Nesmyth,Cormyr,elves,5
95,Ongul’s Water,Cormyr,humans,501
95,Ongul’s Water,Cormyr,halflings,16
95,Ongul’s Water,Cormyr,dwarves,15
95,Ongul’s Water,Cormyr,half-elves,10
95,Ongul’s Water,Cormyr,elves,5
96,Redspring,Cormyr,humans,4700
96,Redspring,Cormyr,halflings,162
96,Redspring,Cormyr,dwarves,167
96,Redspring,Cormyr,half-elves,108
96,Redspring,Cormyr,elves,54
97,Smuggler’s Stone,Cormyr,humans,851
97,Smuggler’s Stone,Cormyr,halflings,27
97,Smuggler’s Stone,Cormyr,dwarves,28
97,Smuggler’s Stone,Cormyr,half-elves,18
97,Smuggler’s Stone,Cormyr,elves,9
98,Stag Steads,Cormyr,humans,4806
98,Stag Steads,Cormyr,halflings,163
98,Stag Steads,Cormyr,dwarves,158
98,Stag Steads,Cormyr,half-elves,109
98,Stag Steads,Cormyr,elves,54
99,Sunset Hill,Cormyr,humans,857
99,Sunset Hill,Cormyr,halflings,28
99,Sunset Hill,Cormyr,dwarves,30
99,Sunset Hill,Cormyr,half-elves,18
99,Sunset Hill,Cormyr,elves,9
100,Thunderstone,Cormyr,humans,1567
100,Thunderstone,Cormyr,halflings,55
100,Thunderstone,Cormyr,dwarves,53
100,Thunderstone,Cormyr,half-elves,35
100,Thunderstone,Cormyr,elves,17
101,Tilverton,Cormyr,humans,8320
101,Tilverton,Cormyr,halflings,275
101,Tilverton,Cormyr,dwarves,284
101,Tilverton,Cormyr,half-elves,180
101,Tilverton,Cormyr,elves,94
102,Tyrluk,Cormyr,humans,171
102,Tyrluk,Cormyr,halflings,5
102,Tyrluk,Cormyr,dwarves,5
