row_id,settlement,region_kingdom,export_item
1,Athkatla,Amn,['ale'
1,Athkatla,Amn,'amour'
1,Athkatla,Amn,'beer'
1,Athkatla,Amn,'caravan items (wagons'
1,Athkatla,Amn,'wheels)'
1,Athkatla,Amn,'gems'
1,Athkatla,Amn,'gold'
1,Athkatla,Amn,'grain'
1,Athkatla,Amn,'horses'
1,Athkatla,Amn,'iron'
1,Athkatla,Amn,'jewellery'
1,Athkatla,Amn,'weapons']
2,Amnwater,Amn,['ale'
2,Amnwater,Amn,'amour'
2,Amnwater,Amn,'beer'
2,Amnwater,Amn,'caravan items (wagons'
2,Amnwater,Amn,'wheels)'
2,Amnwater,Amn,'gems'
2,Amnwater,Amn,'gold'
2,Amnwater,Amn,'grain'
2,Amnwater,Amn,'horses'
2,Amnwater,Amn,'iron'
2,Amnwater,Amn,'jewellery'
2,Amnwater,Amn,'weapons']
3,Citadel Amnur,Amn,['ale'
3,Citadel Amnur,Amn,'amour'
3,Citadel Amnur,Amn,'beer'
3,Citadel Amnur,Amn,'caravan items (wagons'
3,Citadel Amnur,Amn,'wheels)'
3,Citadel Amnur,Amn,'gems'
3,Citadel Amnur,Amn,'gold'
3,Citadel Amnur,Amn,'grain'
3,Citadel Amnur,Amn,'horses'
3,Citadel Amnur,Amn,'iron'
3,Citadel Amnur,Amn,'jewellery'
3,Citadel Amnur,Amn,'weapons']
4,Citadel Rashturl,Amn,['ale'
4,Citadel Rashturl,Amn,'amour'
4,Citadel Rashturl,Amn,'beer'
4,Citadel Rashturl,Amn,'caravan items (wagons'
4,Citadel Rashturl,Amn,'wheels)'
4,Citadel Rashturl,Amn,'gems'
4,Citadel Rashturl,Amn,'gold'
4,Citadel Rashturl,Amn,'grain'
4,Citadel Rashturl,Amn,'horses'
4,Citadel Rashturl,Amn,'iron'
4,Citadel Rashturl,Amn,'jewellery'
4,Citadel Rashturl,Amn,'weapons']
5,Coryllvol,Amn,['ale'
5,Coryllvol,Amn,'amour'
5,Coryllvol,Amn,'beer'
5,Coryllvol,Amn,'caravan items (wagons'
5,Coryllvol,Amn,'wheels)'
5,Coryllvol,Amn,'gems'
5,Coryllvol,Amn,'gold'
5,Coryllvol,Amn,'grain'
5,Coryllvol,Amn,'horses'
5,Coryllvol,Amn,'iron'
5,Coryllvol,Amn,'jewellery'
5,Coryllvol,Amn,'weapons']
6,Crimmor,Amn,['ale'
6,Crimmor,Amn,'amour'
6,Crimmor,Amn,'beer'
6,Crimmor,Amn,'caravan items (wagons'
6,Crimmor,Amn,'wheels)'
6,Crimmor,Amn,'gems'
6,Crimmor,Amn,'gold'
6,Crimmor,Amn,'grain'
6,Crimmor,Amn,'horses'
6,Crimmor,Amn,'iron'
6,Crimmor,Amn,'jewellery'
