row_id,settlement,region_kingdom,import_item
1,Athkatla,Amn,['exotic goods (from maztica)'
1,Athkatla,Amn,'magic items'
1,Athkatla,Amn,'mercenaries'
1,Athkatla,Amn,'pearls'
1,Athkatla,Amn,'siege weapons']
2,Amnwater,Amn,['exotic goods (from maztica)'
2,Amnwater,Amn,'magic items'
2,Amnwater,Amn,'mercenaries'
2,Amnwater,Amn,'pearls'
2,Amnwater,Amn,'siege weapons']
3,Citadel Amnur,Amn,['exotic goods (from maztica)'
3,Citadel Amnur,Amn,'magic items'
3,Citadel Amnur,Amn,'mercenaries'
3,Citadel Amnur,Amn,'pearls'
3,Citadel Amnur,Amn,'siege weapons']
4,Citadel Rashturl,Amn,['exotic goods (from maztica)'
4,Citadel Rashturl,Amn,'magic items'
4,Citadel Rashturl,Amn,'mercenaries'
4,Citadel Rashturl,Amn,'pearls'
4,Citadel Rashturl,Amn,'siege weapons']
5,Coryllvol,Amn,['exotic goods (from maztica)'
5,Coryllvol,Amn,'magic items'
5,Coryllvol,Amn,'mercenaries'
5,Coryllvol,Amn,'pearls'
5,Coryllvol,Amn,'siege weapons']
6,Crimmor,Amn,['exotic goods (from maztica)'
6,Crimmor,Amn,'magic items'
6,Crimmor,Amn,'mercenaries'
6,Crimmor,Amn,'pearls'
6,Crimmor,Amn,'siege weapons']
7,Dark Redoubt,Amn,['exotic goods (from maztica)'
7,Dark Redoubt,Amn,'magic items'
7,Dark Redoubt,Amn,'mercenaries'
7,Dark Redoubt,Amn,'pearls'
7,Dark Redoubt,Amn,'siege weapons']
8,Edive,Amn,['exotic goods (from maztica)'
8,Edive,Amn,'magic items'
8,Edive,Amn,'mercenaries'
8,Edive,Amn,'pearls'
8,Edive,Amn,'siege weapons']
9,Esford,Amn,['exotic goods (from maztica)'
9,Esford,Amn,'magic items'
9,Esford,Amn,'mercenaries'
9,Esford,Amn,'pearls'
9,Esford,Amn,'siege weapons']
10,Eshpurta,Amn,['exotic goods (from maztica)'
10,Eshpurta,Amn,'magic items'
10,Eshpurta,Amn,'mercenaries'
10,Eshpurta,Amn,'pearls'
10,Eshpurta,Amn,'siege weapons']
11,Esmeltaran,Amn,['exotic goods (from maztica)'
11,Esmeltaran,Amn,'magic items'
11,Esmeltaran,Amn,'mercenaries'
11,Esmeltaran,Amn,'pearls'
11,Esmeltaran,Amn,'siege weapons']
12,Gambiton,Amn,['exotic goods (from maztica)'
12,Gambiton,Amn,'magic items'
12,Gambiton,Amn,'mercenaries'
12,Gambiton,Amn,'pearls'
12,Gambiton,Amn,'siege weapons']
13,Goldspires,Amn,['exotic goods (from maztica)'
13,Goldspires,Amn,'magic items'
13,Goldspires,Amn,'mercenaries'
13,Goldspires,Amn,'pearls'
13,Goldspires,Amn,'siege weapons']
14,Hillfort Ishla,Amn,['exotic goods (from maztica)'
14,Hillfort Ishla,Amn,'magic items'
14,Hillfort Ishla,Amn,'mercenaries'
14,Hillfort Ishla,Amn,'pearls'
14,Hillfort Ishla,Amn,'siege weapons']
15,Hillfort Keshla,Amn,['exotic goods (from maztica)'
15,Hillfort Keshla,Amn,'magic items'
15,Hillfort Keshla,Amn,'mercenaries'
15,Hillfort Keshla,Amn,'pearls'
15,Hillfort Keshla,Amn,'siege weapons']
16,Hillfort Torbold,Amn,['exotic goods (from maztica)'
16,Hillfort Torbold,Amn,'magic items'
16,Hillfort Torbold,Amn,'mercenaries'
16,Hillfort Torbold,Amn,'pearls'
16,Hillfort Torbold,Amn,'siege weapons']
17,Ideepton,Amn,['exotic goods (from maztica)'
17,Ideepton,Amn,'magic items'
17,Ideepton,Amn,'mercenaries'
17,Ideepton,Amn,'pearls'
17,Ideepton,Amn,'siege weapons']
