settlement,region_kingdom,capital,settlement_population,settlement_economy,rumored_treasure_value,demographic_breakdown,average_age,most_likely_cause_of_death,government_type,class_density,tax_rate,exports,imports,ruler,military,magic_academy,languages,religions,region_population,region_economy,area,average_temperature,annual_rainfall,magical_climate,dragon_sightings,sources,exports_json,imports_json,demographic_breakdown_json,class_density_json
Athkatla,Amn,Athkatla,116163,34272222,526941,"{'humans': 116046, 'halflings': 116, 'half-orcs': 0, 'misc.': 0}",39,Work-related accidents,['Confederacy'],"{'Aristocratic': 332, 'Wealthy': 2809, 'Comfortable': 16584, 'Modest': 33440, 'Poor': 39204, 'Squalid': 48917, 'Wretched': 10176}",18,"[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]",The Council of Six,Various,guilds,"['Chondathan', 'Common']","['Bane', 'Chauntea', 'Cyric', 'Selûne', 'Sune', 'Waukeen']",2920094,403450,,58,36.6,68,1,"Empires of the Sands - Scott Haring, 1988, Lands of Intrigue - Steven E. Schend, 1997","[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]","{""humans"": 116046.0, ""halflings"": 116.0, ""half-orcs"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 332.0, ""Wealthy"": 2809.0, ""Comfortable"": 16584.0, ""Modest"": 33440.0, ""Poor"": 39204.0, ""Squalid"": 48917.0, ""Wretched"": 10176.0}"
Amnwater,Amn,Athkatla,7035,1092226,1122,"{'humans': 2335, 'halflings': 4699, 'half-orcs': 0, 'misc.': 0}",55,Bandit attacks,['Matriarchy'],"{'Aristocratic': 2, 'Wealthy': 113, 'Comfortable': 486, 'Modest': 961, 'Poor': 2269, 'Squalid': 1336, 'Wretched': 318}",13,"[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]",The Council of Six,Various,None,"['Chondathan', 'Common']","['Bane', 'Chauntea', 'Cyric', 'Selûne', 'Sune', 'Waukeen']",2920094,403450,,67.6,38.2,82,0,"Empires of the Sands - Scott Haring, 1988, Lands of Intrigue - Steven E. Schend, 1997","[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]","{""humans"": 2335.0, ""halflings"": 4699.0, ""half-orcs"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 2.0, ""Wealthy"": 113.0, ""Comfortable"": 486.0, ""Modest"": 961.0, ""Poor"": 2269.0, ""Squalid"": 1336.0, ""Wretched"": 318.0}"
Citadel Amnur,Amn,Athkatla,636,81796,81,"{'humans': 580, 'halflings': 55, 'half-orcs': 0, 'misc.': 0}",43,Assassination,['Patriarchy'],"{'Aristocratic': 0, 'Wealthy': 1, 'Comfortable': 40, 'Modest': 87, 'Poor': 204, 'Squalid': 123, 'Wretched': 10}",0,"[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]",The Council of Six,Various,None,"['Chondathan', 'Common']","['Bane', 'Chauntea', 'Cyric', 'Selûne', 'Sune', 'Waukeen']",2920094,403450,,69.1,44.6,56,0,"Empires of the Sands - Scott Haring, 1988, Lands of Intrigue - Steven E. Schend, 1997","[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]","{""humans"": 580.0, ""halflings"": 55.0, ""half-orcs"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 1.0, ""Comfortable"": 40.0, ""Modest"": 87.0, ""Poor"": 204.0, ""Squalid"": 123.0, ""Wretched"": 10.0}"
Citadel Rashturl,Amn,Athkatla,710,102127,102,"{'humans': 487, 'halflings': 222, 'half-orcs': 0, 'misc.': 0}",49,Poison,['Monarchy'],"{'Aristocratic': 0, 'Wealthy': 3, 'Comfortable': 41, 'Modest': 127, 'Poor': 221, 'Squalid': 146, 'Wretched': 7}",0,"[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]",The Council of Six,Various,None,"['Chondathan', 'Common']","['Bane', 'Chauntea', 'Cyric', 'Selûne', 'Sune', 'Waukeen']",2920094,403450,,52.5,49.4,76,0,"Empires of the Sands - Scott Haring, 1988, Lands of Intrigue - Steven E. Schend, 1997","[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]","{""humans"": 487.0, ""halflings"": 222.0, ""half-orcs"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 3.0, ""Comfortable"": 41.0, ""Modest"": 127.0, ""Poor"": 221.0, ""Squalid"": 146.0, ""Wretched"": 7.0}"
Coryllvol,Amn,Athkatla,23000,4192755,9199,"{'humans': 5842, 'halflings': 17158, 'half-orcs': 0, 'misc.': 0}",58,Starvation,['Kleptocracy'],"{'Aristocratic': 71, 'Wealthy': 631, 'Comfortable': 1771, 'Modest': 2545, 'Poor': 7526, 'Squalid': 6608, 'Wretched': 2090}",5,"[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]",The Council of Six,Various,guilds,"['Chondathan', 'Common']","['Bane', 'Chauntea', 'Cyric', 'Selûne', 'Sune', 'Waukeen']",2920094,403450,,57.1,43.3,56,1,"Empires of the Sands - Scott Haring, 1988, Lands of Intrigue - Steven E. Schend, 1997","[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]","{""humans"": 5842.0, ""halflings"": 17158.0, ""half-orcs"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 71.0, ""Wealthy"": 631.0, ""Comfortable"": 1771.0, ""Modest"": 2545.0, ""Poor"": 7526.0, ""Squalid"": 6608.0, ""Wretched"": 2090.0}"
Crimmor,Amn,Athkatla,34975,7797166,24763,"{'humans': 34975, 'halflings': 0, 'half-orcs': 0, 'misc.': 0}",41,Magic mishaps,['Patriarchy'],"{'Aristocratic': 135, 'Wealthy': 522, 'Comfortable': 4054, 'Modest': 6474, 'Poor': 11773, 'Squalid': 9875, 'Wretched': 3283}",10,"[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]",The Council of Six,Various,guilds,"['Chondathan', 'Common']","['Bane', 'Chauntea', 'Cyric', 'Selûne', 'Sune', 'Waukeen']",2920094,403450,,67.5,42.7,76,2,"Empires of the Sands - Scott Haring, 1988, Lands of Intrigue - Steven E. Schend, 1997","[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]","{""humans"": 34975.0, ""halflings"": 0.0, ""half-orcs"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 135.0, ""Wealthy"": 522.0, ""Comfortable"": 4054.0, ""Modest"": 6474.0, ""Poor"": 11773.0, ""Squalid"": 9875.0, ""Wretched"": 3283.0}"
Dark Redoubt,Amn,Athkatla,292,39128,39,"{'humans': 288, 'halflings': 3, 'half-orcs': 0, 'misc.': 0}",42,Poison,['Militocracy'],"{'Aristocratic': 0, 'Wealthy': 0, 'Comfortable': 19, 'Modest': 45, 'Poor': 94, 'Squalid': 54, 'Wretched': 2}",0,"[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]",The Council of Six,Various,None,"['Chondathan', 'Common']","['Bane', 'Chauntea', 'Cyric', 'Selûne', 'Sune', 'Waukeen']",2920094,403450,,47.6,45.4,69,1,"Empires of the Sands - Scott Haring, 1988, Lands of Intrigue - Steven E. Schend, 1997","[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]","{""humans"": 288.0, ""halflings"": 3.0, ""half-orcs"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 0.0, ""Comfortable"": 19.0, ""Modest"": 45.0, ""Poor"": 94.0, ""Squalid"": 54.0, ""Wretched"": 2.0}"
Edive,Amn,Athkatla,192,21790,21,"{'humans': 192, 'halflings': 0, 'half-orcs': 0, 'misc.': 0}",43,Exposure to the elements,['Gerontocracy'],"{'Aristocratic': 0, 'Wealthy': 0, 'Comfortable': 12, 'Modest': 18, 'Poor': 66, 'Squalid': 45, 'Wretched': 1}",0,"[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]",The Council of Six,Various,None,"['Chondathan', 'Common']","['Bane', 'Chauntea', 'Cyric', 'Selûne', 'Sune', 'Waukeen']",2920094,403450,,51.4,36.2,56,1,"Empires of the Sands - Scott Haring, 1988, Lands of Intrigue - Steven E. Schend, 1997","[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]","{""humans"": 192.0, ""halflings"": 0.0, ""half-orcs"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 0.0, ""Comfortable"": 12.0, ""Modest"": 18.0, ""Poor"": 66.0, ""Squalid"": 45.0, ""Wretched"": 1.0}"
Esford,Amn,Athkatla,5670,1113067,1125,"{'humans': 2863, 'halflings': 2806, 'half-orcs': 0, 'misc.': 0}",53,Disease,['Democracy'],"{'Aristocratic': 0, 'Wealthy': 69, 'Comfortable': 426, 'Modest': 1412, 'Poor': 1786, 'Squalid': 1523, 'Wretched': 263}",0,"[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]",The Council of Six,Various,None,"['Chondathan', 'Common']","['Bane', 'Chauntea', 'Cyric', 'Selûne', 'Sune', 'Waukeen']",2920094,403450,,56.7,49.8,59,1,"Empires of the Sands - Scott Haring, 1988, Lands of Intrigue - Steven E. Schend, 1997","[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]","{""humans"": 2863.0, ""halflings"": 2806.0, ""half-orcs"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 0.0, ""Wealthy"": 69.0, ""Comfortable"": 426.0, ""Modest"": 1412.0, ""Poor"": 1786.0, ""Squalid"": 1523.0, ""Wretched"": 263.0}"
Eshpurta,Amn,Athkatla,23037,4538446,9111,"{'humans': 23037, 'halflings': 0, 'half-orcs': 0, 'misc.': 0}",41,Exposure to the elements,['Democracy'],"{'Aristocratic': 60, 'Wealthy': 584, 'Comfortable': 2529, 'Modest': 2456, 'Poor': 7455, 'Squalid': 4931, 'Wretched': 1996}",17,"[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]",The Council of Six,Various,guilds,"['Chondathan', 'Common']","['Bane', 'Chauntea', 'Cyric', 'Selûne', 'Sune', 'Waukeen']",2920094,403450,,69.4,35.9,78,1,"Empires of the Sands - Scott Haring, 1988, Lands of Intrigue - Steven E. Schend, 1997","[""['ale'"", ""'amour'"", ""'beer'"", ""'caravan items (wagons'"", ""'wheels)'"", ""'gems'"", ""'gold'"", ""'grain'"", ""'horses'"", ""'iron'"", ""'jewellery'"", ""'weapons']""]","[""['exotic goods (from maztica)'"", ""'magic items'"", ""'mercenaries'"", ""'pearls'"", ""'siege weapons']""]","{""humans"": 23037.0, ""halflings"": 0.0, ""half-orcs"": 0.0, ""misc."": 0.0}","{""Aristocratic"": 60.0, ""Wealthy"": 584.0, ""Comfortable"": 2529.0, ""Modest"": 2456.0, ""Poor"": 7455.0, ""Squalid"": 4931.0, ""Wretched"": 1996.0}"
