settlement,region_kingdom,capital,settlement_population,settlement_economy,rumored_treasure_value,demographic_breakdown,average_age,most_likely_cause_of_death,government_type,class_density,tax_rate,exports,imports,ruler,military,magic_academy,languages,religions,region_population,region_economy,area,average_temperature,annual_rainfall,magical_climate,dragon_sightings,sources,canon_status,source_confidence,hidden_economy,trade_balance,risk_index,geo_lat,geo_lon
Tethyr Settlement 0001,Tethyr,Darromar,7133,55693732,2064018,"{'humans': 5710, 'elves': 797, 'dwarves': 456, 'halflings': 589, 'half-orcs': 188, 'misc.': 0}",132,disease,['Democracy'],"{'poor': 0.5397, 'middle': 0.2097, 'wealthy': 0.0603, 'aristocrat': 0.1903}",0,"[['cloth', 'fish', 'grain', 'wine']]",[['coal']],Ruler TET-441,naval patrol,local academy,Common,"Chauntea, Mystra, Selune",193641,937694481,368.32,73.2,58.0,10,0,synthetic generator v2,derived,0.49,69641099,3,35.0,-31.16354,66.11725
Baldurs Gate Settlement 0002,Baldurs Gate,Baldur's Gate,1482,11153543,218459,"{'humans': 1172, 'elves': 52, 'dwarves': 48, 'halflings': 51, 'half-orcs': 19, 'misc.': 140}",112,crime,['Theocracy'],"{'poor': 0.4555, 'middle': 0.3409, 'wealthy': 0.0208, 'aristocrat': 0.1829}",18,"[['armor', 'weapons']]","[['coal', 'glass', 'jewelry', 'ore', 'parchment']]",Ruler BAL-859,small militia,arcanum,"Draconic, Elvish, Orc","Chauntea, Lathander, Torm",241116,953675704,52.02,51.2,44.9,1,0,synthetic generator v2,derived,0.39,14659769,-3,17.9,23.08173,52.30137
Waterdeep Settlement 0003,Waterdeep,Waterdeep,1228,4899313,390416,"{'humans': 845, 'elves': 81, 'dwarves': 73, 'halflings': 76, 'half-orcs': 61, 'misc.': 92}",144,arcane mishap,['Magocracy'],"{'poor': 0.6198, 'middle': 0.2655, 'wealthy': 0.0424, 'aristocrat': 0.0723}",8,"[['cloth', 'fish', 'wine']]","[['jewelry', 'spices']]",Ruler WAT-566,mercenary heavy,local academy,Elvish,"Mystra, Tempus",236326,985356857,205.47,50.0,50.3,5,0,synthetic generator v2,synthetic,0.66,5690452,1,23.9,-15.14304,46.23135
Calimshan Settlement 0004,Calimshan,Memnon,835,2569283,64756,"{'humans': 686, 'elves': 47, 'dwarves': 63, 'halflings': 53, 'half-orcs': 13, 'misc.': 0}",136,war,['Confederacy'],"{'poor': 0.5618, 'middle': 0.333, 'wealthy': 0.0741, 'aristocrat': 0.031}",0,"[['armor', 'books', 'cloth', 'horses', 'salt']]","[['mercenaries', 'parchment', 'silk']]",Ruler CAL-276,professional guard,None,"Common, Orc",Lathander,175132,771448209,510.68,81.0,41.3,5,0,synthetic generator v2,synthetic,0.64,2686663,2,17.5,52.60738,38.9474
Amn Settlement 0005,Amn,Athkatla,2194,5206386,333882,"{'humans': 1863, 'elves': 118, 'dwarves': 177, 'halflings': 69, 'half-orcs': 100, 'misc.': 0}",73,war,['Dictatorship'],"{'poor': 0.58, 'middle': 0.3218, 'wealthy': 0.0934, 'aristocrat': 0.0048}",0,"[['cloth', 'fish', 'timber', 'wine']]","[['coal', 'parchment', 'silk']]",Ruler AMN-39,professional guard,guilds,Orc,"Chauntea, Mystra, Tyr",169970,832884482,497.87,67.7,74.3,10,0,synthetic generator v2,synthetic,0.42,6387182,1,35.0,73.65563,-7.912
Cormyr Settlement 0006,Cormyr,Suzail,6377,63484728,1254547,"{'humans': 4991, 'elves': 756, 'dwarves': 323, 'halflings': 247, 'half-orcs': 294, 'misc.': 0}",148,disease,['Monarchy'],"{'poor': 0.4835, 'middle': 0.2119, 'wealthy': 0.0431, 'aristocrat': 0.2615}",14,"[['books', 'grain', 'salt', 'weapons']]","[['ore', 'parchment', 'spices']]",Ruler COR-776,small militia,guilds,"Common, Elvish","Chauntea, Mystra",142577,750902532,26.15,66.4,44.9,9,0,synthetic generator v2,derived,0.81,63677861,1,42.7,63.61888,-5.47205
Sembia Settlement 0007,Sembia,Selgaunt,1913,5323419,289108,"{'humans': 1264, 'elves': 219, 'dwarves': 63, 'halflings': 46, 'half-orcs': 19, 'misc.': 302}",78,arcane mishap,['Monarchy'],"{'poor': 0.6153, 'middle': 0.2743, 'wealthy': 0.0884, 'aristocrat': 0.0221}",0,"[['gems', 'weapons']]",[['ore']],Ruler SEM-875,naval patrol,guilds,Orc,"Lathander, Mystra, Torm",158418,730633739,235.9,59.9,30.8,5,0,synthetic generator v2,synthetic,0.78,5448845,1,17.5,-38.76898,54.08355
Sembia Settlement 0008,Sembia,Selgaunt,1176,7668115,425935,"{'humans': 991, 'elves': 114, 'dwarves': 96, 'halflings': 60, 'half-orcs': 48, 'misc.': 0}",131,old age,['Dictatorship'],"{'poor': 0.5222, 'middle': 0.273, 'wealthy': 0.0584, 'aristocrat': 0.1464}",13,"[['books', 'fish', 'gems', 'timber']]","[['magic items', 'mercenaries', 'silk']]",Ruler SEM-934,small militia,local academy,"Common, Draconic, Orc",Mystra,158418,730633739,452.55,49.4,33.8,8,0,synthetic generator v2,derived,0.67,9549637,1,38.4,26.91609,49.24378
Tethyr Settlement 0009,Tethyr,Darromar,1934,18046871,1003711,"{'humans': 1656, 'elves': 61, 'dwarves': 77, 'halflings': 116, 'half-orcs': 48, 'misc.': 0}",33,disease,['Monarchy'],"{'poor': 0.4718, 'middle': 0.2281, 'wealthy': 0.0648, 'aristocrat': 0.2353}",10,"[['grain', 'salt']]","[['coal', 'jewelry', 'mercenaries', 'spices']]",Ruler TET-236,professional guard,arcanum,Draconic,Mystra,193641,937694481,87.58,73.9,55.7,10,0,synthetic generator v2,derived,0.54,15544791,-2,43.0,25.93617,-46.39393
Sembia Settlement 0010,Sembia,Selgaunt,1412,2631787,152229,"{'humans': 1263, 'elves': 81, 'dwarves': 94, 'halflings': 121, 'half-orcs': 69, 'misc.': 0}",56,crime,['Satrapy'],"{'poor': 0.6372, 'middle': 0.3267, 'wealthy': 0.0311, 'aristocrat': 0.0049}",19,"[['cloth', 'wine']]","[['coal', 'parchment', 'silk', 'spices']]",Ruler SEM-63,mercenary heavy,None,"Draconic, Dwarvish, Elvish",Torm,158418,730633739,501.59,52.8,67.0,0,0,synthetic generator v2,synthetic,0.83,2111392,-2,15.2,33.73629,88.42051
